"event_time_kst","event_id","user_account","source_host","source_ip","target_host","resource","action","result","related_ticket","data_classification"
"2026-08-30 10:02:14","EVT-0830-100214","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","BKUP-SRV01","CHG-2026-0818","BackupRestoreStart","Success","CHG-2026-0818","교육용 가상 데이터"
"2026-08-30 10:05:37","EVT-0830-100537","SHT\svc.backup","BKUP-SRV01","10.20.0.30","FILE-SRV01","Security/보안점검_결과보고서.docx","Read","Success","CHG-2026-0818","교육용 가상 데이터"
"2026-08-30 10:05:42","EVT-0830-100542","SHT\svc.backup","BKUP-SRV01","10.20.0.30","FILE-SRV01","Security/보안장비_운영현황.xlsx","Read","Success","CHG-2026-0818","교육용 가상 데이터"
"2026-08-30 10:09:03","EVT-0830-100903","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","BKUP-SRV01","Restore-Test/보안점검_결과보고서.docx","Open","Success","CHG-2026-0818","교육용 가상 데이터"
"2026-08-31 14:48:22","EVT-0831-144822","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","FILE-SRV01","IT/사용자_계정_권한현황.xlsx","Open","Success","INC-2026-0844","교육용 가상 데이터"
"2026-08-31 14:52:09","EVT-0831-145209","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","FILE-SRV01","Security/보안점검_결과보고서.docx","Open","Success","IAM-2026-08","교육용 가상 데이터"
"2026-08-31 15:36:41","EVT-0831-153641","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","FILE-SRV01","IT/월간_계정권한_검토회의록.hwp","Create","Success","IAM-2026-08","교육용 가상 데이터"
"2026-09-01 08:42:18","EVT-0901-084218","SHT\svc.inventory","LOG-SRV01","10.20.0.40","EDR-MGR01","WS-SPARE03 status","Query","Delayed","INC-2026-0831","교육용 가상 데이터"
"2026-09-01 09:10:05","EVT-0901-091005","SHT\lee.seojun","WS-SEC-LEE01","10.20.10.52","LOG-SRV01","DailyCheck/LOG-SRV01_일일점검메모.txt","Create","Success","INC-2026-0831","교육용 가상 데이터"
"2026-09-01 11:24:33","EVT-0901-112433","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","FILE-SRV01","IT/신규입사자_IT_설정체크리스트.hwpx","Create","Success","REQ-2026-0901","교육용 가상 데이터"
"2026-09-03 19:50:12","EVT-0903-195012","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","SW-CORE01","running-config","Backup","Success","CHG-2026-0903","교육용 가상 데이터"
"2026-09-03 20:10:27","EVT-0903-201027","SHT\kim.isa","WS-IT-KIM01","10.20.10.41","FILE-SRV01","SMB connectivity test","Connect","Blocked","CHG-2026-0903","교육용 가상 데이터"
